ds,y
2026-04-07,1339.4000244140625
2026-04-08,1346.199951171875
2026-04-09,1331.5999755859375
2026-04-10,1292.5
2026-04-13,1276.800048828125
2026-04-15,1305.300048828125
2026-04-16,1319.199951171875
2026-04-17,1318.699951171875
2026-04-20,1312.5999755859375
2026-04-21,1313.199951171875
2026-04-22,1268.5999755859375
2026-04-23,1240.5999755859375
2026-04-24,1154.5999755859375
2026-04-27,1170.300048828125
2026-04-28,1152.0999755859375
2026-04-29,1167.5
2026-04-30,1181.800048828125
2026-05-01,1181.800048828125
2026-05-04,1168.4000244140625
2026-05-05,1178.0999755859375
2026-05-06,
